Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
"That question allowed me to stop worrying, to pray and give thanks to God, and keep going with my day.","that question allowed me to stop worrying, to pray and give thanks to god, and keep going with my day.",0.2,0.6,no,"That question allowed me to stop worrying, to pray and give thanks to God, and keep going with my day.",CANCER_IS_JOURNEY,,,,"That question allowed me to stop worrying, to pray and give thanks to God, and keep going with my day. ","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
the radiation dose necessary to sterilize hypoxic cells,the radiation dose necessary to sterilize hypoxic cells,0.5,0.0,Tie,the radiation dose necessary to sterilize hypoxic cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,the radiation dose necessary to sterilize hypoxic cells,Metaphors in medical texts
"cancer cells in the dissemination phase are in a precarious situation. Their chance of survival, largely coinciding with their chances of escape from the circulation","cancer cells in the dissemination phase are in a precarious situation. their chance of survival, largely coinciding with their chances of escape from the circulation",1.0,1.0,yes,"cancer cells in the dissemination phase are in a precarious situation. Their chance of survival, largely coinciding with their chances of escape from the circulation",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"cancer cells in the dissemination phase are in a precarious situation. Their chance of survival, largely coinciding with their chances of escape from the circulation",Metaphors in medical texts
"There are many types of cells. Red blood cells, immune cells, liver cells and thousand more. In a complex organism they fit together as a somewhat harmonious whole. You see the same type of structural harmony with assembled Legos. There are many shapes and sizes of Lego and several colors. They can be put together to make some thing that makes sense, a house, a plane or just about anything else. The linked LegoMan is a good approximation. Of course if there were round Legos, it would be an even better approximation.","there are many types of cells. red blood cells, immune cells, liver cells and thousand more. in a complex organism they fit together as a somewhat harmonious whole. you see the same type of structural harmony with assembled legos. there are many shapes and sizes of lego and several colors. they can be put together to make some thing that makes sense, a house, a plane or just about anything else. the linked legoman is a good approximation. of course if there were round legos, it would be an even better approximation.",1.0,1.0,yes,"There are many types of cells. Red blood cells, immune cells, liver cells and thousand more. In a complex organism they fit together as a somewhat harmonious whole. You see the same type of structural harmony with assembled Legos. There are many shapes and sizes of Lego and several colors. They can be put together to make some thing that makes sense, a house, a plane or just about anything else. The linked LegoMan is a good approximation. Of course if there were round Legos, it would be an even better approximation.",CELLS_ARE_ROUND_LEGOS,,,,"There are many types of cells. Red blood cells, immune cells, liver cells and thousand more. In a complex organism they fit together as a somewhat harmonious whole. You see the same type of structural harmony with assembled Legos. There are many shapes and sizes of Lego and several colors.  They can be put together to make some thing that makes sense, a house, a plane or just about anything else. The linked LegoMan is a good approximation. Of course if there were round Legos, it would be an even better approximation.",Metamia
an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous,an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous,1.0,1.0,yes,an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous,(TUMOUR)_CELLS_ARE_HUMAN,,,,an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
You can probably get high blood pressure from one large fry at McDonald’s,you can probably get high blood pressure from one large fry at mcdonald's,3.333.333.333.333.330,33.333.333.333.333.300,no,You can probably get high blood pressure from one large fry at McDonald’s,DIABETES IS A JOURNEY,,Development of disease,,You can probably get high blood pressure from one large fry at McDonald’s,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.","the modified adenovirus exploits what lawrence young, who is leading the research project at the university of birmingham, calls the cancer cell's ""achilles heel"".",1.0,1.0,yes,"The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.",ISOLATED----,,,,"The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
"Nine years later, she shows no sign of relapse","nine years later, she shows no sign of relapse",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Nine years later, she shows no sign of relapse",MEDICINE_IS_A_DETECTIVE_STORY,,,,"Nine years later, she shows no sign of relapse","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
cooperative interactions of several growth factors,cooperative interactions of several growth factors,0.5,0.0,Tie,cooperative interactions of several growth factors,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,cooperative interactions of several growth factors,Metaphors in medical texts
forming a network of interacting antibodies,forming a network of interacting antibodies,3.333.333.333.333.330,33.333.333.333.333.300,no,forming a network of interacting antibodies,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,forming a network of interacting antibodies,Metaphors in medical texts
...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint,...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint,1.0,1.0,yes,...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint,ISOLATED_METAPHORS,,,Isolated metaphors,...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint,Metaphors in medical texts
I could taste the diabetes,i could taste the diabetes,1.0,1.0,yes,I could taste the diabetes,DIABETES IS AN OBJECT,,Development of disease,,I could taste the diabetes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
I went online to read about my cancer and the treatment options available.,i went online to read about my cancer and the treatment options available.,6.666.666.666.666.660,33.333.333.333.333.300,yes,I went online to read about my cancer and the treatment options available.,CANCER_IS_A_LESSON,,,,I went online to read about my cancer and the treatment options available.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"With jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs","with jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs",1.0,1.0,yes,"With jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs",HUMAN_BODY_IS_A_MACHINE,,,,"With jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs","bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm,arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm,3.333.333.333.333.330,33.333.333.333.333.300,no,Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm,MEDICINE_IS_A_DETECTIVE_STORY,,,,Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm,"theindependent.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
A new type of genetic,a new type of genetic,1.0,1.0,yes,A new type of genetic,,,,,,
"Women, failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac,","women, failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac,",0.0,1.0,no,"Women, failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac,",,,,,,
"In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells","in addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells",7.142.857.142.857.140,4.285.714.285.714.280,yes,"In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells",Metaphors in medical texts
a team has been studying the increasing prevalence of painkiller use,a team has been studying the increasing prevalence of painkiller use,6.666.666.666.666.660,33.333.333.333.333.300,yes,a team has been studying the increasing prevalence of painkiller use,MEDICINE_IS_WAR,,,,a team has been studying the increasing prevalence of painkiller use,"http://bbc.com/, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
We discussed my treatment options.,we discussed my treatment options.,0.0,1.0,no,We discussed my treatment options.,CANCER_IS_A_LESSON,,,,We discussed my treatment options.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"Covid-19, Harry says, is an 'evil disease' but one the country will once again come together to defeat","covid-19, harry says, is an 'evil disease' but one the country will once again come together to defeat",1.0,1.0,yes,"Covid-19, Harry says, is an 'evil disease' but one the country will once again come together to defeat",DISEASE_IS_A_LIVING_ENTITY,,,,"Covid-19, Harry says, is an 'evil disease' but one the country will once again come together to defeat","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
It allowed me to see life in a different way.,it allowed me to see life in a different way.,1.0,1.0,yes,It allowed me to see life in a different way.,UNDERSTANDING IS SEEING,CANCER CLEARS VISION AND ALLOWS FOR NEW UNDERSTANDING,,,It allowed me to see life in a different way.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_15"
basement membrane barrier,basement membrane barrier,0.5,0.0,Tie,basement membrane barrier,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,basement membrane barrier,Metaphors in medical texts
"Staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants","staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants",0.5,0.0,Tie,"Staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants",MEDICINE_IS_AGRICULTURE,,,,"Staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants ","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
by way of highly active anabolic pathways,by way of highly active anabolic pathways,0.0,1.0,no,by way of highly active anabolic pathways,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",by way of highly active anabolic pathways,Metaphors in medical texts
"Meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells","meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells",1.0,1.0,yes,"Meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells",DISEASE_IS_A_PHYSICAL_ENTITY,,,,"Meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
It turned out that he found two new trouble spots.,it turned out that he found two new trouble spots.,3.333.333.333.333.330,33.333.333.333.333.300,no,It turned out that he found two new trouble spots.,CANCER_IS_JOURNEY,,,,It turned out that he found two new trouble spots.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
cell death owing to inadequate nutrition,cell death owing to inadequate nutrition,0.0,1.0,no,cell death owing to inadequate nutrition,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,cell death owing to inadequate nutrition,Metaphors in medical texts
the tumor cell may also achieve the same type of autonomy by modification of...,the tumor cell may also achieve the same type of autonomy by modification of...,6.666.666.666.666.660,33.333.333.333.333.300,yes,the tumor cell may also achieve the same type of autonomy by modification of...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,the tumor cell may also achieve the same type of autonomy by modification of...,Metaphors in medical texts
You really do believe you are OK and you are as strong as you think you are.,you really do believe you are ok and you are as strong as you think you are.,3.333.333.333.333.330,33.333.333.333.333.300,no,You really do believe you are OK and you are as strong as you think you are.,EMOTIONAL STRENGTH IS PHYSICAL STRENGTH,,,,You really do believe you are OK and you are as strong as you think you are.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_7"
the cascade or multistep theory of spread,the cascade or multistep theory of spread,1.0,1.0,yes,the cascade or multistep theory of spread,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,the cascade or multistep theory of spread,Metaphors in medical texts
kick some cancer butt,kick some cancer butt,1.0,1.0,yes,kick some cancer butt,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,kick some cancer butt,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
You are such a fighter and so inspirational.,you are such a fighter and so inspirational.,6.666.666.666.666.660,33.333.333.333.333.300,yes,You are such a fighter and so inspirational.,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,You are such a fighter and so inspirational.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
Growth of more fastidious cells,growth of more fastidious cells,1.0,1.0,yes,Growth of more fastidious cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",Growth of more fastidious cells,Metaphors in medical texts
"Today, we try to make a difference wherever we go.","today, we try to make a difference wherever we go.",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Today, we try to make a difference wherever we go.",CANCER_IS_JOURNEY,,,,"Today, we try to make a difference wherever we go.","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.,a library is generated from this enriched cdna fraction and can be screened with isotopically labeled total rna from each cell type to identify the novel transcripts.,0.0,1.0,no,A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.,A_GENOME_IS_A_TEXT,,,Text,A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.,Metaphors in medical texts
Ms Jones and Mr Cowan were among 15 festival-goers to fall ill at the King George V Playing Fields in Cosham on the night of Saturday 26 May,ms jones and mr cowan were among 15 festival-goers to fall ill at the king george v playing fields in cosham on the night of saturday 26 may,0.0,1.0,no,Ms Jones and Mr Cowan were among 15 festival-goers to fall ill at the King George V Playing Fields in Cosham on the night of Saturday 26 May,"HEALTH_IS_UP, ILLNESS_IS_DOWN",,,,Ms Jones and Mr Cowan were among 15 festival-goers to fall ill at the King George V Playing Fields in Cosham on the night of Saturday 26 May,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the cells that can mediate the greatest killing,the cells that can mediate the greatest killing,8.333.333.333.333.330,6.666.666.666.666.660,yes,the cells that can mediate the greatest killing,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,the cells that can mediate the greatest killing,Metaphors in medical texts
I just wanted to buy time until my surgeon was home.,i just wanted to buy time until my surgeon was home.,1.0,1.0,yes,I just wanted to buy time until my surgeon was home.,LIFE IS A BANK ACCOUNT,,,,I just wanted to buy time until my surgeon was home.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_36"
"Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers","recently, a third population of lymphocytes, null cells, has been identified that express neither t nor b cell-surface markers",0.25,0.5,no,"Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers",Metaphors in medical texts
Couples who develop diabetes together stay together!,couples who develop diabetes together stay together!,0.0,1.0,no,Couples who develop diabetes together stay together!,DIABETES IS A JOURNEY,,Development of disease,,Couples who develop diabetes together stay together!,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
a single open reading frame coding for 153 amino acids.,a single open reading frame coding for 153 amino acids.,0.0,1.0,no,a single open reading frame coding for 153 amino acids.,A_GENOME_IS_A_TEXT,,,Text,a single open reading frame coding for 153 amino acids.,Metaphors in medical texts
This is the idea that some parents are buying into when they perform vaginal seeding,this is the idea that some parents are buying into when they perform vaginal seeding,0.5,0.0,Tie,This is the idea that some parents are buying into when they perform vaginal seeding,MEDICINE_IS_AGRICULTURE,,,,This is the idea that some parents are buying into when they perform vaginal seeding,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"“I think the infection changes the innate immune cells from helping the tumours to killing them,”","i think the infection changes the innate immune cells from helping the tumours to killing them,",3.333.333.333.333.330,33.333.333.333.333.300,no,"“I think the infection changes the innate immune cells from helping the tumours to killing them,”",MEDICINE_IS_WAR,,,,"“I think the infection changes the innate immune cells from helping the tumours to killing them,”","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"He's also been outspoken about his battle with OCD, which he described as","he's also been outspoken about his battle with ocd, which he described as",0.5,0.0,Tie,"He's also been outspoken about his battle with OCD, which he described as",,,,,,
cells that would have died can be salvaged,cells that would have died can be salvaged,6.666.666.666.666.660,33.333.333.333.333.300,yes,cells that would have died can be salvaged,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,cells that would have died can be salvaged,Metaphors in medical texts
"Even if transplanted cells are able to migrate to the areas of damage, mature and integrate into a patient’s nervous system before the disease takes its toll","even if transplanted cells are able to migrate to the areas of damage, mature and integrate into a patient's nervous system before the disease takes its toll",1.0,1.0,yes,"Even if transplanted cells are able to migrate to the areas of damage, mature and integrate into a patient’s nervous system before the disease takes its toll",MEDICINE_IS_AGRICULTURE,,,,"Even if transplanted cells are able to migrate to the areas of damage, mature and integrate into a patient’s nervous system before the disease takes its toll","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Vaccines are many months away and may well not be a silver bullet when they arrive,vaccines are many months away and may well not be a silver bullet when they arrive,1.0,1.0,yes,Vaccines are many months away and may well not be a silver bullet when they arrive,MEDICINE_IS_WAR,,,,Vaccines are many months away and may well not be a silver bullet when they arrive,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
A bodybuilder celebrating British and European title wins says his,a bodybuilder celebrating british and european title wins says his,1.15,0.5,yes,A bodybuilder celebrating British and European title wins says his,,,,,,
"One study in JAMA Cardiology journal, found that 20 per cent of 416 patients hospitalised in Wuhan with the coronavirus had heart damage","one study in jama cardiology journal, found that 20 per cent of 416 patients hospitalised in wuhan with the coronavirus had heart damage",0.0,1.0,no,"One study in JAMA Cardiology journal, found that 20 per cent of 416 patients hospitalised in Wuhan with the coronavirus had heart damage",DISEASE_IS_A_PHYSICAL_ENTITY,,,,"One study in JAMA Cardiology journal, found that 20 per cent of 416 patients hospitalised in Wuhan with the coronavirus had heart damage","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Diabetes messing with my eyes,diabetes messing with my eyes,1.0,1.0,yes,Diabetes messing with my eyes,DIABETES IS AN ACTOR,,Experience of disease,,Diabetes messing with my eyes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
Prof Brocklehurst says:,prof brocklehurst says:,1.15,0.5,yes,Prof Brocklehurst says:,,,,,,
"In normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue","in normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue",0.5,0.0,Tie,"In normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families","In normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue",Metaphors in medical texts
No diabetes allowed,no diabetes allowed,0.0,1.0,no,No diabetes allowed,DIABETES IS AN ACTOR,,Development of disease,,No diabetes allowed,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
The discovery gives doctors the first chance to tailor chemotherapy to suit individual children,the discovery gives doctors the first chance to tailor chemotherapy to suit individual children,1.0,1.0,yes,The discovery gives doctors the first chance to tailor chemotherapy to suit individual children,CANCER_THERAPIES_ARE_GARMENTS,,,,The discovery gives doctors the first chance to tailor chemotherapy to suit individual children,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
an imbalanced regulation of motility an proteolysis appears to be required for invasion and metastasis.,an imbalanced regulation of motility an proteolysis appears to be required for invasion and metastasis.,0.5,0.0,Tie,an imbalanced regulation of motility an proteolysis appears to be required for invasion and metastasis.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,an imbalanced regulation of motility an proteolysis appears to be required for invasion and metastasis.,Metaphors in medical texts
"In MS the condition has a clear immune basis, so it makes much more logical sense to do bone marrow transplants as a way of treating the disease","in ms the condition has a clear immune basis, so it makes much more logical sense to do bone marrow transplants as a way of treating the disease",0.0,1.0,no,"In MS the condition has a clear immune basis, so it makes much more logical sense to do bone marrow transplants as a way of treating the disease",MEDICINE_IS_AGRICULTURE,,,,"In MS the condition has a clear immune basis, so it makes much more logical sense to do bone marrow transplants as a way of treating the disease","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Many studies have shown that cell replication is required to,many studies have shown that cell replication is required to,6.666.666.666.666.660,33.333.333.333.333.300,yes,Many studies have shown that cell replication is required to,,,,,,
This inter-receptor communication represents another mechanism for regulation of cellular response patterns.,this inter-receptor communication represents another mechanism for regulation of cellular response patterns.,0.0,1.0,no,This inter-receptor communication represents another mechanism for regulation of cellular response patterns.,A_CELL_IS_A_MACHINE,,,Machine and mechanism,This inter-receptor communication represents another mechanism for regulation of cellular response patterns.,Metaphors in medical texts
T cells look for the presence of new antigens,t cells look for the presence of new antigens,0.0,1.0,no,T cells look for the presence of new antigens,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,T cells look for the presence of new antigens,Metaphors in medical texts
The fight at the frontlines of Covid-19 is being waged in clinics and hospitals around the world,the fight at the frontlines of covid-19 is being waged in clinics and hospitals around the world,1.0,1.0,yes,The fight at the frontlines of Covid-19 is being waged in clinics and hospitals around the world,MEDICINE_IS_WAR,,,,The fight at the frontlines of Covid-19 is being waged in clinics and hospitals around the world,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
and the primary RNA transcript consists of a series of coding an noncoding regions.,and the primary rna transcript consists of a series of coding an noncoding regions.,0.0,1.0,no,and the primary RNA transcript consists of a series of coding an noncoding regions.,A_GENOME_IS_A_TEXT,,,Text,and the primary RNA transcript consists of a series of coding an noncoding regions.,Metaphors in medical texts
Each step involves multiple tumor-host interactions,each step involves multiple tumor-host interactions,1.0,1.0,yes,Each step involves multiple tumor-host interactions,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,Each step involves multiple tumor-host interactions,Metaphors in medical texts
The doctor said we can fix that.,the doctor said we can fix that.,0.0,1.0,no,The doctor said we can fix that.,THE BODY IS A MACHINE,,,,The doctor said we can fix that.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_23"
a population of poorly nourished cells,a population of poorly nourished cells,1.15,0.5,yes,a population of poorly nourished cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,a population of poorly nourished cells,Metaphors in medical texts
"I went for an initial consultation and met with my medical oncologist, who explained the particulars of cancer very clearly, even drawing pictures to make sure I understood exactly what he was telling me.","i went for an initial consultation and met with my medical oncologist, who explained the particulars of cancer very clearly, even drawing pictures to make sure i understood exactly what he was telling me.",0.0,1.0,no,"I went for an initial consultation and met with my medical oncologist, who explained the particulars of cancer very clearly, even drawing pictures to make sure I understood exactly what he was telling me.",CANCER_IS_JOURNEY,,,,"I went for an initial consultation and met with my medical oncologist, who explained the particulars of cancer very clearly, even drawing pictures to make sure I understood exactly what he was telling me.","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
some agents such as immune suppressants,some agents such as immune suppressants,0.5,0.0,Tie,some agents such as immune suppressants,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,some agents such as immune suppressants,Metaphors in medical texts
"Granulocytopenia, ... and concomitant damage to body barriers","granulocytopenia, ... and concomitant damage to body barriers",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Granulocytopenia, ... and concomitant damage to body barriers",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"Granulocytopenia, ... and concomitant damage to body barriers",Metaphors in medical texts
