Metaphor,Derived metaphor,Category,subcategory,Example,Source
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cells not in cycle but able to be recruited into cycle,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"neoplastic stem cells in a GO state present a major obstacle to any chemotherapy based on selectively killing only growing, cycling cells.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,This variability of entry into S phase probably is a barrier to chemotherapy by cycle phase-specific drugs,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,Many antineoplastic drugs kill only cells that are in S phase,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,...which is lethal for S-phase cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,no permanent harm comes to the cell,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,The main rationale in current cancer chemotherapy is to try to kill cancer cells selectively by virtue of their greater growth fraction,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cytotoxic killer cells and lymphokine activated killer cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"a tumor cell might move out into the surrounding host tissue and also exert a ""recruiting"" effect on adjacent tumor cells in the presence of an atttractant gradient",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"Consequently, an anti-invasion agent may block tumor angiogenesis",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the cells that can mediate the greatest killing,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"using these antibodies coupled to other, more toxic reagents to fashion a magic bullet that would seek out tumor cells and destroy them uniquely, leaving uninjured the cells to which they did not bind.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"""armed"" cells",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"the mechanism of tumor cell killing appears to be an ""innocent bystander"" effect by a vigurous local immune response;",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,histologic study of regressing lesions supports the idea that the tumor is killed as an innocent bystander if a granulomatous inflammatory response,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cancer cell trapping in lymph nodes,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,many of the floating cells may be trapped in supraclavicular lymph nodes,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the occurrence of mechanical trapping prior to the dangerous transcapillary passage ...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"Due to the potential trapping function of their capillary nets, lung, liver, and bone marrow operate as filter organs",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,after an injury the excessive loss of differentiated cells triggers the recruitment of quiescent cells into the proliferative pool.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,suppressor T cells; cytotoxic T cells; natural killer cells NK,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,General themes are emerging that yeld new strategies for prognosis and therapy of human metastatic cancer,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,antineoplastic drugs,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"this problem is an important one for devising ""clonogenic assays"" of resistance to antineoplastic drugs",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,anticancer drugs,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cycle-specific antineoplastic drugs,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,DNA is the target of agents that control cell growth by interactions that ultimately modify gene functions,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,immune surveillance mechanisms,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"Host defenses also may destroy some tumor cells, causing some cell loss",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the possibility that the tumor has to escape immunologic and host defense mechanism,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"At all stages of the metastatic cascade, tumor cells must overcome host defenses",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"""Nonspecific"" host defenses such as macrophages and natural killer cells may be more effective against heterogeneous tumor cell populations",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,[AIDS] the role of immunideficiency in cancer development,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"the role of immune surveillance that might explain the apparent suppression of initiated cells. it is suggested that UVR affects Langerhans' cells, which are antigen-presenging cells in the epidermis and the most superficial sentinel of the immune system.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"cells have the capacity to call upon an adaptive, coordinated, defense mechanism when assaulted by cyclotoxins. once this program is turned on by one agent, it appears to be effective against others. Such a system may protect normal cells against environmental assault, but in cancer patients it appears to protect neoplastic cells against chemotherapeutic agents, which are also derived from environmental sources.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,some tumors have managed to escape immune detection by the ingenious mechanism of decreasing or eliminating their expression of MHC antigens,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,susceptible to immune attack,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"For these reasons it was hoped that in humans, particularly in an adjuvant setting shortly after radical surgery, vaccination with antologous or allogenic tumor cells od the same histologous type would force the immune apparatus to kill residual tumor cells that would otherwise have grown into metastases.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,Cancer chemotherapy and radiotherapy can estroy the body's immune defenses in hurting immunologically important cells but also breaking the barriers represented by skin and mucous membranes.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,The first approach consists in bolstering host defense mechanisms by vaccination,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the cell's basic defense mechanism against toxic agents found naturally in the environment,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,its rapidly developing drug resistance,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,resistance to antineoplastic drugs,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the resistance of normal cartilage,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells already present but normally prevented from expressing their neoplastic potential by immune mechanisms of the host.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,The difference between neoplasms are indeed demonstrated only too clearly by their varied responses to chemotherapy,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,responses to individual tumors to drugs differ...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,DNA damage and repair,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"Relatively little is known about DNA repair mechanisms in higher organisms, not even how many major repair mechanisms are in human cells.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,The mechanism mainly responsible for repairing UV lesions,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",two of its main activities [of the plasma membrane] are selective transport of molecules into and out of the cell,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",Some of these transport mechanisms,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",Intracellular concentrations of these ions depend on transport systems,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",drug transport [of cells],Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",the mRNA is then transported to the cytoplasm and translated into protein,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic","Dissemination consists in the transportation of intravasated cancer elements. With increasing size of cancer elements in transit, traffic is governed more and more by the rules of embolization.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",transported cells are subject to a kind of filtration process,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",by way of highly active anabolic pathways,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic","In order to colonize the ectopic site, the tumor cells must have left the first capillary arrest site in the lungs and travaled to the ectopic site.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic",cell traffic,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic","If jammed, cancer cells are able to display..., they destroy ...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Successful tumour cells,These highly aggressive cells may be selected out because they have a high probability of successfully producing a metastatic colony compared with other subpopulationsof primary tumor cells.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Successful tumour cells,"A metastatic tumor cell, in order to be successful, must leave the primary tumor and invade local host tissue.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Successful tumour cells,a cascade or coordinated group of gene products expressed above a certain threshold level may be required for a tumor cell to successfully traverse the successive steps in the metastatic process,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Successful tumour cells,cell subpopulations that have successfully passed through the selective process of premestatic spread,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,RNA transcription,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,Undermethylated DNA usually is transcriptionally active;,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,DNA Function: Transcription,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,DNA methylation may increase transcriptional activity of a gene,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,gene expression: transcription translation,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"The enzyme RNA polymerase copies or transcribes genes that encode proteins into RNA using monomeric nucleotides similar to, but with subtle differences from, the four nucleotides present in DNA.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The RNA copy of DNA that is destined to form protein molecules is called messenger RNA (mRNA),Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,Genes that are transcribed into mRNA are translated into the cytoplasm into proteins by a translation system that deciphers the amino acid sequence encoded in the mRNA trnascript.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,and the primary RNA transcript consists of a series of coding an noncoding regions.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The first portion of mRNA usually does not code for a protein sequence and is referred to as untranslated leader.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,All the genetic information of an organism encoded in the DNA genome present in each living cell,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,there are two copies of the genome in every somatic cell,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,This information is encoded in DNA,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,the specificity of the genetic code,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,A variation of this technique known as random priming uses a randomly generated set of six base-pair oligonucleotides as primers to generate labeled DNA of very high specific activity.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"A related technique, called the polymerate chain reaction (PCR), uses specific primers to copy and amplify a specific DNA sequence.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,a single strand is copied from a primer molecule by DNA polymerase,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,This allows representative genomic libraries to be constructed that are fewer in number than lambda phage genomic libraries.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"Both lambda phage and cosmid libraries are useful for ""chromosome walking"" studies, that is, one end of an insert from one recombinant can serve as probe for rescreening the libraries for purposes of ...",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"Clealy, more genetic information is spanned when cosmid libraries are used.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"Assuming that a library of large minichromosomes could be generated, how could they be ordered? [and then two approaches are suggested]",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,cDNA libraries: A collection of clones representative of the mRNA of a given cell type that is formed using the enzyme reverse transcriptase.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,Reverse transcriptase: An enzyme produced by retroviruses that makes complementary DNA (cDNA) copies of RNA. The process is called reverse transcription,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"DNA is copied into RNA in a process called transcription, and the RNA is then used as a template for protein synthesis in a process called translation.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"In eukaryotes, the enzyme RNA polymerase II (RNA pol II) copies (transcribes) genes (DNA sequences) into messenger RNA (mRNA)",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"RNA polymerase begins transcription at a promoter initiation site that lies ""upstream"" of the DNA coding sequence.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,the encoded protein information,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The initial 5' portion of the RNA transcript usually does not encode amino acid sequence information and consequently is known as untranslated (UT) leader,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,untranslated region (U),Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The end of the RNA is terminated by posttranscriptional modification called polyadenylation,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,cDNA libraries differ from genomic libraries by being limited to only the transcribed portion of genes and therefore are greatly reduced in sequence complexity,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,These libraries are useful in providing amplified copies of specific sequences.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,cDNA libraries...have been extremely useful for identifying transcripts,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,These cells...are extremely large...and contain large stores of gene transcription and mRNA translation machinery.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,transcriptional factors,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,How such a transcription factor operates at the molecular level is not yet understood,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,GCN-4 is a transcriptional control element in yeast,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,the nearly palindromic oligonucleotide ATCACTCAT,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry;",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,transcriptional and posttranscriptional regulatory elements.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,the identification of open reading frames,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,a single open reading frame coding for 153 amino acids.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,post-translational modification,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The flow of information in eukaryotic cells is from DNA into RNA in a process called transcription;RNA is then used as a blueprint for protein in a process called translation.RNA polymerase is the enzyme that transcribes genes into RNA.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The RNA copy of DNA that is destined to form protein molecules is called messenger RNA (mRNA),Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"Synthesis of the message is initiated from a promoter region in the DNA, and the primary RNA transcript consists of series of coding and noncoding regions",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"The first portion of the molecule, the untranslated leaer, is not a protein coding sequence.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The relation of triplet codons to their respective amino acids is known as the genetic code.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,A series of codons that can be transcribed into protein is known as an open reading frame.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"and the short fragments serve as ""primers"" for DNA polymerase.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...",Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,The decoding [translation] is performed by transfer RNA (tRNA) molecules that recognize the specific nucleotide codon information and provide the appropriate amino acid for linking to the growing polypeptide chain.,Metaphors in medical texts
A_GENOME_IS_A_TEXT,,,Text,"the infectious agent was not only capable of inducing tumors, but also imprinted the ohenotype characteristics of the original tumor on the recipient transformed cell.",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,protective mechanisms,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,the growth regulatory mechanisms,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,growth control mechanisms,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,... cycling cells will continue in the proliferative cycle of be switched into G0,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,little is known about differences in this mechanism between tumor and nontumor cells.,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,A complex of several proteins is associated with some receptors across the membrane and is proposed to act as a signaling mechanism,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,This metabolic machinery...,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,Relatively little is known about DNA repair mechanisms in higher organisms,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"The mechanism mainly responsible for repairing UV lesions appears to be almost error-free, but othr proposed repair mechanisms make errors relatively frequently;",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,Phosphorylations very possibly will provide clues to how growth factors communicate their information to the cells' machinery,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,These cells...are extremely large...and contain large stores of gene transcription and mRNA translation machinery.,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"Within a specific cell type, certain genes are ""switched on"" while others are ""switched off"" and thus inaccessible to the cell's transcriptional machinery.",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"How and when the switching on and off of genes occurs, ... and what outside mechanisms can alter cell behavior via changes in gene regulation are key questions currenly being addressed.",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,...it is likely that gene control ... involves complex feedback mechanisms,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"the analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry;",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,the cell's genetic apparatus,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,very little is known about the mechanism whereby the signal from the receptor is transduced into a specific biological response within the cell itself,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"This virally coded ""truncated receptor"" is believed to be able to generate a mitogenic signal, even in the absence of its natural ligand. It is as if the truncation of the receptor has short.circuited the normal physiologic mechanism for controlling its activity, and the truncated receptor is now permanently turned on, even though no EGF may be present.",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,This inter-receptor communication represents another mechanism for regulation of cellular response patterns.,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"carcinogenic chemicals and radiation activate some form of ""error-prone"" mechanisms of DNA repair or replication.",Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,Another possible mechanism of action of tumor promoters...is the inhibition of intercellular communication (metabolic cooperation) between cells in culture,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,different factors are involved in the mechanisms of different types of cancer,Metaphors in medical texts
A_CELL_IS_A_MACHINE,,,Machine and mechanism,"cells have the capacity to call upon an adaptive, coordinated, defense mechanism when assaulted by cyclotoxins.",Metaphors in medical texts
