Column,Question,HumanCounts,GoldStandard,LLMAnswer,Result,IsCorrect
"QID345 - Does this sentence contain a metaphor?
Sentence: ""Prof Russell Viner, president of the Royal College of Paediatrics and Child Health, said the majority of children who have had the condition""","Does this sentence contain a metaphor?
Sentence: ""Prof Russell Viner, president of the Royal College of Paediatrics and Child Health, said the majority of children who have had the condition""",{'no': 2},no,**no**,LLM does NOT match the gold standard.,False
"QID347 - Does this sentence contain a metaphor?
Sentence: ""A woman who needs reconstructive surgery after getting a tummy tuck and breast implants in Turkey has said she ""wishes she didn't""""","Does this sentence contain a metaphor?
Sentence: ""A woman who needs reconstructive surgery after getting a tummy tuck and breast implants in Turkey has said she ""wishes she didn't""""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID349 - Does this sentence contain a metaphor?
Sentence: ""It’s understood that the Wynnum Manly  is believed to have suffered a suspected heart attack""","Does this sentence contain a metaphor?
Sentence: ""It’s understood that the Wynnum Manly  is believed to have suffered a suspected heart attack""","{'yes': 2, 'no': 1}",yes,**no**,LLM does NOT match the gold standard.,False
"QID351 - Does this sentence contain a metaphor?
Sentence: ""NK cells are cells that can lyse a select group of cultured cell lines""","Does this sentence contain a metaphor?
Sentence: ""NK cells are cells that can lyse a select group of cultured cell lines""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID353 - Does this sentence contain a metaphor?
Sentence: ""Lucy Kerr, 20, was diagnosed with bone cancer when she broke her thigh bone""","Does this sentence contain a metaphor?
Sentence: ""Lucy Kerr, 20, was diagnosed with bone cancer when she broke her thigh bone""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID355 - Does this sentence contain a metaphor?
Sentence: ""Your husband sounds like a fighter which will hold him in good stead.""","Does this sentence contain a metaphor?
Sentence: ""Your husband sounds like a fighter which will hold him in good stead.""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID359 - Does this sentence contain a metaphor?
Sentence: ""[certain cells] can kill tumor cells but have no memory and no antigen-specific tumor recognition capacity.""","Does this sentence contain a metaphor?
Sentence: ""[certain cells] can kill tumor cells but have no memory and no antigen-specific tumor recognition capacity.""",{'yes': 3},yes,no,LLM does NOT match the gold standard.,False
"QID361 - Does this sentence contain a metaphor?
Sentence: ""Tumorogenic cells in culture have diminished sensitivity to the presence of other cells in their immediate vicinity.""","Does this sentence contain a metaphor?
Sentence: ""Tumorogenic cells in culture have diminished sensitivity to the presence of other cells in their immediate vicinity.""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID363 - Does this sentence contain a metaphor?
Sentence: ""These libraries are useful in providing amplified copies of specific sequences.""","Does this sentence contain a metaphor?
Sentence: ""These libraries are useful in providing amplified copies of specific sequences.""",{'no': 2},no,**no**,LLM does NOT match the gold standard.,False
"QID365 - Does this sentence contain a metaphor?
Sentence: ""cells have the capacity to call upon an adaptive, coordinated defense mechanism when assaulted by cyclotoxins. Once this program is turned on by one agent, it appears to be effective against others. Such a system may protect normal cells against environmental assault, but in cancer patients it appears to protect neoplastic cells against chemotherapeutic agents, which are also derived from environmental sources.""","Does this sentence contain a metaphor?
Sentence: ""cells have the capacity to call upon an adaptive, coordinated defense mechanism when assaulted by cyclotoxins. Once this program is turned on by one agent, it appears to be effective against others. Such a system may protect normal cells against environmental assault, but in cancer patients it appears to protect neoplastic cells against chemotherapeutic agents, which are also derived from environmental sources.""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID367 - Does this sentence contain a metaphor?
Sentence: ""But as someone who self-harmed as a teenager and experienced panic attacks at university a decade ago""","Does this sentence contain a metaphor?
Sentence: ""But as someone who self-harmed as a teenager and experienced panic attacks at university a decade ago""",{'no': 2},no,**no**,LLM does NOT match the gold standard.,False
"QID369 - Does this sentence contain a metaphor?
Sentence: ""the behavior of blood-borne cancer cells""","Does this sentence contain a metaphor?
Sentence: ""the behavior of blood-borne cancer cells""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID373 - Does this sentence contain a metaphor?
Sentence: ""Once the tumor cells enter the stroma they gain access to lymphatics and blood vessels for further dissemination""","Does this sentence contain a metaphor?
Sentence: ""Once the tumor cells enter the stroma they gain access to lymphatics and blood vessels for further dissemination""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID375 - Does this sentence contain a metaphor?
Sentence: ""At a metastatic site these cells can be expected to display one of the following modes of behavior: (a) they die; (b) they survive without further activity; (c) they multiply; (d) they multiply and invade""","Does this sentence contain a metaphor?
Sentence: ""At a metastatic site these cells can be expected to display one of the following modes of behavior: (a) they die; (b) they survive without further activity; (c) they multiply; (d) they multiply and invade""","{'yes': 1, 'no': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID377 - Does this sentence contain a metaphor?
Sentence: ""Although we can sometimes mistake a TV show for a true representation of human behavior, we generally agree there is much more to life than what we see on Temptation Island or Big Brother. Systems biology can only work if we relate back to the cell, organism, or ecosystem. It is the behavior of our models that is complex, not necessarily the behavior of the cell.""","Does this sentence contain a metaphor?
Sentence: ""Although we can sometimes mistake a TV show for a true representation of human behavior, we generally agree there is much more to life than what we see on Temptation Island or Big Brother. Systems biology can only work if we relate back to the cell, organism, or ecosystem. It is the behavior of our models that is complex, not necessarily the behavior of the cell.""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID379 - Does this sentence contain a metaphor?
Sentence: ""Depression runs in families, we know""","Does this sentence contain a metaphor?
Sentence: ""Depression runs in families, we know""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID381 - Does this sentence contain a metaphor?
Sentence: ""When men and women present with the same acute abdominal pain, women have to wait longer to see a doctor and are less likely to be given painkillers""","Does this sentence contain a metaphor?
Sentence: ""When men and women present with the same acute abdominal pain, women have to wait longer to see a doctor and are less likely to be given painkillers""",{'no': 1},no,**no**,LLM does NOT match the gold standard.,False
"QID383 - Does this sentence contain a metaphor?
Sentence: ""a six-base recognition restriction enzyme""","Does this sentence contain a metaphor?
Sentence: ""a six-base recognition restriction enzyme""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID385 - Does this sentence contain a metaphor?
Sentence: ""For these reasons it was hoped that in humans, particularly in an adjuvant setting shortly after radical surgery, vaccination with antologous or allogenic tumor cells od the same histologous type would force the immune apparatus to kill residual tumor cells that would otherwise have grown into metastases.""","Does this sentence contain a metaphor?
Sentence: ""For these reasons it was hoped that in humans, particularly in an adjuvant setting shortly after radical surgery, vaccination with antologous or allogenic tumor cells od the same histologous type would force the immune apparatus to kill residual tumor cells that would otherwise have grown into metastases.""",{'yes': 2},yes,**no**,LLM does NOT match the gold standard.,False
"QID387 - Does this sentence contain a metaphor?
Sentence: ""untranslated region (U)""","Does this sentence contain a metaphor?
Sentence: ""untranslated region (U)""",{'no': 3},no,no,LLM matches the gold standard.,True
"QID389 - Does this sentence contain a metaphor?
Sentence: ""In neoplastic cells the restriction point event in G1 is less dependent that in nontumor cells on external signals such as growth factors, nearby cells, or substratum""","Does this sentence contain a metaphor?
Sentence: ""In neoplastic cells the restriction point event in G1 is less dependent that in nontumor cells on external signals such as growth factors, nearby cells, or substratum""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID391 - Does this sentence contain a metaphor?
Sentence: ""The end of the RNA is terminated by posttranscriptional modification called polyadenylation""","Does this sentence contain a metaphor?
Sentence: ""The end of the RNA is terminated by posttranscriptional modification called polyadenylation""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID395 - Does this sentence contain a metaphor?
Sentence: ""the tumorous cells, so that they can attack the cancer again""","Does this sentence contain a metaphor?
Sentence: ""the tumorous cells, so that they can attack the cancer again""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID399 - Does this sentence contain a metaphor?
Sentence: ""daughter cell""","Does this sentence contain a metaphor?
Sentence: ""daughter cell""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID401 - Does this sentence contain a metaphor?
Sentence: ""Even from dealing with the initial paperwork, I could see the dedication that went into patient care at every step of the way.""","Does this sentence contain a metaphor?
Sentence: ""Even from dealing with the initial paperwork, I could see the dedication that went into patient care at every step of the way.""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID403 - Does this sentence contain a metaphor?
Sentence: ""certain chemotherapeutic agents are ""cycle specific"", killing cells more effectively during certain phases of the cell cycle.""","Does this sentence contain a metaphor?
Sentence: ""certain chemotherapeutic agents are ""cycle specific"", killing cells more effectively during certain phases of the cell cycle.""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID405 - Does this sentence contain a metaphor?
Sentence: ""To be able to complete this course, metastatic cells must have many special properties""","Does this sentence contain a metaphor?
Sentence: ""To be able to complete this course, metastatic cells must have many special properties""","{'yes': 2, 'no': 1}",yes,**yes**,LLM does NOT match the gold standard.,False
"QID407 - Does this sentence contain a metaphor?
Sentence: ""The lungs may be ground zero for Covid-19 but scientists think it may also invade the circulatory system, getting deep into our veins""","Does this sentence contain a metaphor?
Sentence: ""The lungs may be ground zero for Covid-19 but scientists think it may also invade the circulatory system, getting deep into our veins""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID409 - Does this sentence contain a metaphor?
Sentence: ""the loci in question may be physiologically essential constituents of the cell's genetic apparatus that become pathogenic only when their structure or control is disturbed by oncogenic agents""","Does this sentence contain a metaphor?
Sentence: ""the loci in question may be physiologically essential constituents of the cell's genetic apparatus that become pathogenic only when their structure or control is disturbed by oncogenic agents""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID411 - Does this sentence contain a metaphor?
Sentence: ""Another possible mechanism of action of tumour promoters ... is the inhibition of intercellular communication (metabolic cooperation) between cells in culture""","Does this sentence contain a metaphor?
Sentence: ""Another possible mechanism of action of tumour promoters ... is the inhibition of intercellular communication (metabolic cooperation) between cells in culture""","{'yes': 1, 'no': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID413 - Does this sentence contain a metaphor?
Sentence: ""a respiratory virus – one that simply attacks the lungs""","Does this sentence contain a metaphor?
Sentence: ""a respiratory virus – one that simply attacks the lungs""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID415 - Does this sentence contain a metaphor?
Sentence: ""White blood cells attack pathogens""","Does this sentence contain a metaphor?
Sentence: ""White blood cells attack pathogens""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID417 - Does this sentence contain a metaphor?
Sentence: ""The long life of the red cell""","Does this sentence contain a metaphor?
Sentence: ""The long life of the red cell""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID419 - Does this sentence contain a metaphor?
Sentence: ""That question allowed me to stop worrying, to pray and give thanks to God, and keep going with my day. ""","Does this sentence contain a metaphor?
Sentence: ""That question allowed me to stop worrying, to pray and give thanks to God, and keep going with my day. ""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID421 - Does this sentence contain a metaphor?
Sentence: ""the radiation dose necessary to sterilize hypoxic cells""","Does this sentence contain a metaphor?
Sentence: ""the radiation dose necessary to sterilize hypoxic cells""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID423 - Does this sentence contain a metaphor?
Sentence: ""cancer cells in the dissemination phase are in a precarious situation. Their chance of survival, largely coinciding with their chances of escape from the circulation""","Does this sentence contain a metaphor?
Sentence: ""cancer cells in the dissemination phase are in a precarious situation. Their chance of survival, largely coinciding with their chances of escape from the circulation""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID425 - Does this sentence contain a metaphor?
Sentence: ""There are many types of cells. Red blood cells, immune cells, liver cells and thousand more. In a complex organism they fit together as a somewhat harmonious whole. You see the same type of structural harmony with assembled Legos. There are many shapes and sizes of Lego and several colors.  They can be put together to make some thing that makes sense, a house, a plane or just about anything else. The linked LegoMan is a good approximation. Of course if there were round Legos, it would be an even better approximation.""","Does this sentence contain a metaphor?
Sentence: ""There are many types of cells. Red blood cells, immune cells, liver cells and thousand more. In a complex organism they fit together as a somewhat harmonious whole. You see the same type of structural harmony with assembled Legos. There are many shapes and sizes of Lego and several colors.  They can be put together to make some thing that makes sense, a house, a plane or just about anything else. The linked LegoMan is a good approximation. Of course if there were round Legos, it would be an even better approximation.""",{'yes': 3},yes,**yes**,LLM does NOT match the gold standard.,False
"QID427 - Does this sentence contain a metaphor?
Sentence: ""an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous""","Does this sentence contain a metaphor?
Sentence: ""an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID429 - Does this sentence contain a metaphor?
Sentence: ""You can probably get high blood pressure from one large fry at McDonald’s""","Does this sentence contain a metaphor?
Sentence: ""You can probably get high blood pressure from one large fry at McDonald’s""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID431 - Does this sentence contain a metaphor?
Sentence: ""The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.""","Does this sentence contain a metaphor?
Sentence: ""The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID433 - Does this sentence contain a metaphor?
Sentence: ""Nine years later, she shows no sign of relapse""","Does this sentence contain a metaphor?
Sentence: ""Nine years later, she shows no sign of relapse""","{'yes': 1, 'no': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID435 - Does this sentence contain a metaphor?
Sentence: ""cooperative interactions of several growth factors""","Does this sentence contain a metaphor?
Sentence: ""cooperative interactions of several growth factors""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID437 - Does this sentence contain a metaphor?
Sentence: ""In my online research, Cancer Treatment Centers of America® (CTCA) was always included in my search results.""","Does this sentence contain a metaphor?
Sentence: ""In my online research, Cancer Treatment Centers of America® (CTCA) was always included in my search results.""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID439 - Does this sentence contain a metaphor?
Sentence: ""forming a network of interacting antibodies""","Does this sentence contain a metaphor?
Sentence: ""forming a network of interacting antibodies""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID441 - Does this sentence contain a metaphor?
Sentence: ""...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint""","Does this sentence contain a metaphor?
Sentence: ""...are alternative methods of protein analysis and are used for comparing one product to another as in a fingerprint""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID443 - Does this sentence contain a metaphor?
Sentence: ""I could taste the diabetes""","Does this sentence contain a metaphor?
Sentence: ""I could taste the diabetes""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID445 - Does this sentence contain a metaphor?
Sentence: ""I went online to read about my cancer and the treatment options available.""","Does this sentence contain a metaphor?
Sentence: ""I went online to read about my cancer and the treatment options available.""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID447 - Does this sentence contain a metaphor?
Sentence: ""With jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs""","Does this sentence contain a metaphor?
Sentence: ""With jagged particles, because of the way they follow the path of the air, there's a lower chance of them impacting the sinus walls at the back of the throat - which is the body's defence mechanism for keeping particles out of the lungs""",{'yes': 2},yes,**no**,LLM does NOT match the gold standard.,False
"QID449 - Does this sentence contain a metaphor?
Sentence: ""Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm""","Does this sentence contain a metaphor?
Sentence: ""Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of weakness or numbness in 1 arm""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID451 - Does this sentence contain a metaphor?
Sentence: ""A new type of genetic ""magic bullet"" could make it easier to treat cancers in sensitive areas, scientists believe""","Does this sentence contain a metaphor?
Sentence: ""A new type of genetic ""magic bullet"" could make it easier to treat cancers in sensitive areas, scientists believe""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID453 - Does this sentence contain a metaphor?
Sentence: ""Women,  failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac, ""","Does this sentence contain a metaphor?
Sentence: ""Women,  failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac, """,{'no': 1},no,**no**,LLM does NOT match the gold standard.,False
"QID455 - Does this sentence contain a metaphor?
Sentence: ""In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells""","Does this sentence contain a metaphor?
Sentence: ""In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID457 - Does this sentence contain a metaphor?
Sentence: ""People have been [trying] for the past 20 years to piece together how treating patients with arsenic results in the death of leukaemia cells. We have added a major piece to that puzzle.""","Does this sentence contain a metaphor?
Sentence: ""People have been [trying] for the past 20 years to piece together how treating patients with arsenic results in the death of leukaemia cells. We have added a major piece to that puzzle.""",{'yes': 3},yes,**yes**,LLM does NOT match the gold standard.,False
"QID459 - Does this sentence contain a metaphor?
Sentence: ""a team has been studying the increasing prevalence of painkiller use""","Does this sentence contain a metaphor?
Sentence: ""a team has been studying the increasing prevalence of painkiller use""",{'yes': 2},yes,**no**,LLM does NOT match the gold standard.,False
"QID461 - Does this sentence contain a metaphor?
Sentence: ""cancer cells continue to grow in environments that stop normal cells""","Does this sentence contain a metaphor?
Sentence: ""cancer cells continue to grow in environments that stop normal cells""",{'no': 2},no,**yes**,LLM does NOT match the gold standard.,False
"QID463 - Does this sentence contain a metaphor?
Sentence: ""We discussed my treatment options.""","Does this sentence contain a metaphor?
Sentence: ""We discussed my treatment options.""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID465 - Does this sentence contain a metaphor?
Sentence: ""Covid-19, Harry says, is an 'evil disease' but one the country will once again come together to defeat""","Does this sentence contain a metaphor?
Sentence: ""Covid-19, Harry says, is an 'evil disease' but one the country will once again come together to defeat""",{'yes': 3},yes,**yes**,LLM does NOT match the gold standard.,False
"QID467 - Does this sentence contain a metaphor?
Sentence: ""It allowed me to see life in a different way.""","Does this sentence contain a metaphor?
Sentence: ""It allowed me to see life in a different way.""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID469 - Does this sentence contain a metaphor?
Sentence: ""basement membrane barrier""","Does this sentence contain a metaphor?
Sentence: ""basement membrane barrier""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID471 - Does this sentence contain a metaphor?
Sentence: ""Staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants ""","Does this sentence contain a metaphor?
Sentence: ""Staff, mostly dressed in medical scrubs, neglected to mention any potential adverse events associated with stem cell transplants """,{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID473 - Does this sentence contain a metaphor?
Sentence: ""by way of highly active anabolic pathways""","Does this sentence contain a metaphor?
Sentence: ""by way of highly active anabolic pathways""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID475 - Does this sentence contain a metaphor?
Sentence: ""Meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells""","Does this sentence contain a metaphor?
Sentence: ""Meanwhile, the patient is given a dose of dengue fever, a disease normally carried by mosquitoes, before they are injected with the newly trained dendritic cells""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID477 - Does this sentence contain a metaphor?
Sentence: ""It turned out that he found two new trouble spots.""","Does this sentence contain a metaphor?
Sentence: ""It turned out that he found two new trouble spots.""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID479 - Does this sentence contain a metaphor?
Sentence: ""cell death owing to inadequate nutrition""","Does this sentence contain a metaphor?
Sentence: ""cell death owing to inadequate nutrition""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID481 - Does this sentence contain a metaphor?
Sentence: ""...the action of a chemical, physical, or biologic agent that alters in an irreversible manner the heritable structure(s) of the cell""","Does this sentence contain a metaphor?
Sentence: ""...the action of a chemical, physical, or biologic agent that alters in an irreversible manner the heritable structure(s) of the cell""",{'no': 1},no,**no**,LLM does NOT match the gold standard.,False
"QID483 - Does this sentence contain a metaphor?
Sentence: ""the tumor cell may also achieve the same type of autonomy by modification of...""","Does this sentence contain a metaphor?
Sentence: ""the tumor cell may also achieve the same type of autonomy by modification of...""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID486 - Does this sentence contain a metaphor?
Sentence: ""You really do believe you are OK and you are as strong as you think you are.""","Does this sentence contain a metaphor?
Sentence: ""You really do believe you are OK and you are as strong as you think you are.""",{'no': 2},no,**yes**,LLM does NOT match the gold standard.,False
"QID488 - Does this sentence contain a metaphor?
Sentence: ""the cascade or multistep theory of spread""","Does this sentence contain a metaphor?
Sentence: ""the cascade or multistep theory of spread""",{'yes': 2},yes,**no**,LLM does NOT match the gold standard.,False
"QID490 - Does this sentence contain a metaphor?
Sentence: ""kick some cancer butt""","Does this sentence contain a metaphor?
Sentence: ""kick some cancer butt""",{'yes': 3},yes,**yes**,LLM does NOT match the gold standard.,False
"QID492 - Does this sentence contain a metaphor?
Sentence: ""Another possible mechanism of action of tumor promoters...is the inhibition of intercellular communication (metabolic cooperation) between cells in culture""","Does this sentence contain a metaphor?
Sentence: ""Another possible mechanism of action of tumor promoters...is the inhibition of intercellular communication (metabolic cooperation) between cells in culture""","{'yes': 2, 'no': 1}",yes,no,LLM does NOT match the gold standard.,False
"QID494 - Does this sentence contain a metaphor?
Sentence: ""You are such a fighter and so inspirational.""","Does this sentence contain a metaphor?
Sentence: ""You are such a fighter and so inspirational.""",{'yes': 2},yes,**no**,LLM does NOT match the gold standard.,False
"QID496 - Does this sentence contain a metaphor?
Sentence: ""Growth of more fastidious cells""","Does this sentence contain a metaphor?
Sentence: ""Growth of more fastidious cells""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID498 - Does this sentence contain a metaphor?
Sentence: ""Today, we try to make a difference wherever we go.""","Does this sentence contain a metaphor?
Sentence: ""Today, we try to make a difference wherever we go.""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID500 - Does this sentence contain a metaphor?
Sentence: ""A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.""","Does this sentence contain a metaphor?
Sentence: ""A library is generated from this enriched cDNA fraction and can be screened with isotopically labeled total RNA from each cell type to identify the novel transcripts.""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID502 - Does this sentence contain a metaphor?
Sentence: ""if they [cells] are starved for a nutrient""","Does this sentence contain a metaphor?
Sentence: ""if they [cells] are starved for a nutrient""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID504 - Does this sentence contain a metaphor?
Sentence: ""Due to the potential trapping function of their capillary nets, lung, liver, and bone marrow operate as filter organs and key disseminating sites of hematogeneous spread [...] thus, it [the liver] cannot be considered as first metastatic target or as filter or key organ for spread of this type of gastric carcinoma (or can any other organ!)""","Does this sentence contain a metaphor?
Sentence: ""Due to the potential trapping function of their capillary nets, lung, liver, and bone marrow operate as filter organs and key disseminating sites of hematogeneous spread [...] thus, it [the liver] cannot be considered as first metastatic target or as filter or key organ for spread of this type of gastric carcinoma (or can any other organ!)""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID506 - Does this sentence contain a metaphor?
Sentence: ""The initial 5' portion of the RNA transcript usually does not encode amino acid sequence information and consequently is known as untranslated (UT) leader""","Does this sentence contain a metaphor?
Sentence: ""The initial 5' portion of the RNA transcript usually does not encode amino acid sequence information and consequently is known as untranslated (UT) leader""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID508 - Does this sentence contain a metaphor?
Sentence: ""It [a metastatic tumour cell] must then enter the circulation, survive in the circulation, arrest at the distant vascular bed, extravasate into the organ interstitium and parenchyma, and multiply to initiate a metastatic colony""","Does this sentence contain a metaphor?
Sentence: ""It [a metastatic tumour cell] must then enter the circulation, survive in the circulation, arrest at the distant vascular bed, extravasate into the organ interstitium and parenchyma, and multiply to initiate a metastatic colony""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID510 - Does this sentence contain a metaphor?
Sentence: ""Ms Jones and Mr Cowan were among 15 festival-goers to fall ill at the King George V Playing Fields in Cosham on the night of Saturday 26 May""","Does this sentence contain a metaphor?
Sentence: ""Ms Jones and Mr Cowan were among 15 festival-goers to fall ill at the King George V Playing Fields in Cosham on the night of Saturday 26 May""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID512 - Does this sentence contain a metaphor?
Sentence: ""the cells that can mediate the greatest killing""","Does this sentence contain a metaphor?
Sentence: ""the cells that can mediate the greatest killing""",{'yes': 2},yes,yes,LLM matches the gold standard.,True
"QID514 - Does this sentence contain a metaphor?
Sentence: ""I just wanted to buy time until my surgeon was home.""","Does this sentence contain a metaphor?
Sentence: ""I just wanted to buy time until my surgeon was home.""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID516 - Does this sentence contain a metaphor?
Sentence: ""Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers""","Does this sentence contain a metaphor?
Sentence: ""Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID518 - Does this sentence contain a metaphor?
Sentence: ""Couples who develop diabetes together stay together!""","Does this sentence contain a metaphor?
Sentence: ""Couples who develop diabetes together stay together!""",{'no': 1},no,**yes**,LLM does NOT match the gold standard.,False
"QID520 - Does this sentence contain a metaphor?
Sentence: ""Cancer Treatment Centers of America® (CTCA) was the second place I called.""","Does this sentence contain a metaphor?
Sentence: ""Cancer Treatment Centers of America® (CTCA) was the second place I called.""",{'no': 3},no,**no**,LLM does NOT match the gold standard.,False
"QID522 - Does this sentence contain a metaphor?
Sentence: ""the cells that can mediate the greatest killing""","Does this sentence contain a metaphor?
Sentence: ""the cells that can mediate the greatest killing""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID524 - Does this sentence contain a metaphor?
Sentence: ""The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry;""","Does this sentence contain a metaphor?
Sentence: ""The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry;""",{'no': 3},no,no,LLM matches the gold standard.,True
"QID528 - Does this sentence contain a metaphor?
Sentence: ""This is the idea that some parents are buying into when they perform vaginal seeding""","Does this sentence contain a metaphor?
Sentence: ""This is the idea that some parents are buying into when they perform vaginal seeding""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID530 - Does this sentence contain a metaphor?
Sentence: ""“I think the infection changes the innate immune cells from helping the tumours to killing them,”""","Does this sentence contain a metaphor?
Sentence: ""“I think the infection changes the innate immune cells from helping the tumours to killing them,”""",{'no': 1},no,**yes**,LLM does NOT match the gold standard.,False
"QID532 - Does this sentence contain a metaphor?
Sentence: ""He's also been outspoken about his battle with OCD, which he described as ""a condition that both fuels and hinders me""""","Does this sentence contain a metaphor?
Sentence: ""He's also been outspoken about his battle with OCD, which he described as ""a condition that both fuels and hinders me""""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID534 - Does this sentence contain a metaphor?
Sentence: ""cells that would have died can be salvaged""","Does this sentence contain a metaphor?
Sentence: ""cells that would have died can be salvaged""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
